"word","estimate"
"well_of",0.01202073
"well_is",0.00689495
"year_that",0.00625028
"year_on",0.00488443
"year_this",0.00316449
"two_the",0.03049616
"two_to",0.01775384
"two_a",0.01510992
"don't_the",0.01808405
"don't_to",0.01052793
"don't_and",0.00904948
"first_the",0.03066401
"first_is",0.00718609
"first_that",0.00702191
"him_of",0.01102522
"him_is",0.00632394
"him_this",0.00312863
"want_and",0.00666712
"want_of",0.00544344
"want_in",0.00435421
"much_in",0.00845507
"much_is",0.00606293
"much_that",0.00592441
"right_is",0.00629185
"right_for",0.00603753
"right_with",0.00406372
"us_of",0.01341952
"us_is",0.00769728
"us_it",0.00633098
"could_the",0.02170401
"could_to",0.01263535
"could_and",0.01086095
"need_in",0.0043722
"need_i",0.00432812
"need_that",0.00306357
"did_to",0.01189586
"did_of",0.00834856
"did_in",0.00667801
"off_i",0.00816106
"off_is",0.0059117
"off_you",0.00537663
"say_a",0.01437315
"say_for",0.00652348
"say_with",0.0043908
"after_to",0.01479749
"after_and",0.01271945
"after_of",0.01038493
"even_and",0.01259363
"even_of",0.0102822
"even_i",0.0081418
"down_of",0.0104048
"down_is",0.00596807
"down_you",0.00542791
"great_and",0.01668634
"great_a",0.01652154
"great_of",0.01362374
"made_i",0.00706418
"made_is",0.00511714
"made_you",0.00465399
"years_to",0.01372982
"years_you",0.00502666
"years_it",0.00454585
"got_and",0.01179496
"got_of",0.00963012
"got_i",0.00762546
"rt_the",0.03131428
"rt_to",0.01823012
"rt_and",0.01567004
"still_and",0.01722187
"still_of",0.01406098
"still_is",0.00806522
"today_of",0.01331121
"today_that",0.00746072
"today_it",0.00627989
"where_of",0.00941382
"where_for",0.0051814
"where_on",0.00412329
"work_a",0.01475077
"work_it",0.00573846
"work_are",0.00325547
"being_and",0.01480106
"being_of",0.01208448
"being_i",0.00956891
"many_the",0.02694121
"many_to",0.01568427
"many_and",0.0134817
"am_of",0.01152343
"am_is",0.00660971
"am_for",0.00634253
"life_a",0.01584815
"life_it",0.00616537
"life_at",0.00395874
"any_the",0.02729181
"any_to",0.01588837
"any_and",0.01365715
"here_a",0.01530487
"here_of",0.01262048
"here_was",0.0040584
"very_the",0.02337735
"very_to",0.01360951
"very_and",0.0116983
"thanks_and",0.00699856
"thanks_of",0.00571405
"thanks_is",0.00327751
"take_of",0.00849555
"take_is",0.00487295
"take_for",0.00467598
"best_the",0.03045995
"best_a",0.01509198
"best_is",0.00713826
"those_the",0.02961982
"those_to",0.01724366
"those_and",0.01482211
"never_to",0.01644647
"never_and",0.01413687
"never_of",0.0115422
"most_the",0.02496714
"most_and",0.01249385
"most_a",0.01237045
"before_to",0.01522113
"before_and",0.01308361
"before_of",0.01068225
"while_of",0.01255598
"while_is",0.00720197
"while_for",0.00691086
"around_of",0.00902635
"around_is",0.00517741
"around_that",0.00505913
"u_the",0.03202821
"u_and",0.0160273
"u_of",0.01308566
"come_a",0.01049326
"come_of",0.0086528
"come_i",0.00685158
"things_of",0.01161653
"things_it",0.00548038
"things_on",0.00508809
"through_of",0.00939342
"through_i",0.00743804
"through_is",0.00538796
"school_the",0.03176549
"school_of",0.01297832
"school_for",0.00714331
"next_the",0.01815201
"next_and",0.00908348
"next_a",0.00899377
"lol_the",0.03175779
"lol_to",0.01848832
"lol_of",0.01297517
"happy_a",0.01192709
"happy_of",0.00983514
"happy_in",0.00786712
"night_to",0.01769805
"night_a",0.01506244
"night_are",0.00332426
"these_the",0.02761334
"these_to",0.01607556
"these_and",0.01381805
"every_the",0.02362161
"every_to",0.01375171
"every_and",0.01182054
"home_is",0.00755955
"home_that",0.00738684
"home_it",0.0062177
"same_the",0.0295844
"same_and",0.01480439
"same_a",0.01465817
"game_to",0.01616044
"game_and",0.01389101
"game_a",0.01375381
"look_the",0.01755007
"look_to",0.01021706
"look_is",0.00411285
"week_that",0.00669473
"week_it",0.00563513
"week_on",0.00523176
"little_the",0.0276434
"little_and",0.01383309
"little_a",0.01369646
"should_to",0.0123047
"should_and",0.01057673
"should_a",0.01047227
"show_to",0.01688539
"show_in",0.009479
"show_i",0.00938343
"may_to",0.0145666
"may_and",0.01252099
"may_a",0.01239733
"feel_to",0.01453602
"feel_of",0.01020143
"feel_in",0.00816012
"that's_to",0.01278175
"that's_and",0.01098679
"that's_of",0.00897028
"says_to",0.02105675
"says_for",0.0081337
"says_you",0.00770914
"another_to",0.02053966
"another_a",0.01748087
"another_in",0.0115304
"why_to",0.01522391
"why_and",0.013086
"why_of",0.0106842
"thing_the",0.02305949
"thing_of",0.00942134
"thing_it",0.00444475
"since_to",0.01597082
"since_of",0.01120839
"since_in",0.00896558
"city_the",0.033502
"city_to",0.01950374
"city_a",0.01659922
"always_to",0.01931466
"always_and",0.01660227
"always_of",0.0135551
"sure_and",0.01251915
"sure_a",0.0123955
"sure_of",0.01022139
"world_i",0.01031345
"world_that",0.00730017
"world_for",0.00716887
"man_a",0.01605949
"man_of",0.01324274
"man_you",0.00690838
"find_to",0.01285242
"find_and",0.01104753
"find_in",0.00721499
"state_for",0.00841475
"state_you",0.00797551
"state_on",0.00669635
"does_to",0.01375279
"does_and",0.01182147
"does_of",0.00965176
"help_in",0.00946986
"help_is",0.00679061
"help_for",0.00651612
"few_the",0.02152619
"few_to",0.01253182
"few_and",0.01077196
"you're_to",0.01443219
"you're_and",0.01240545
"you're_of",0.01012856
"im_the",0.02471598
"im_to",0.01438881
"im_and",0.01236817
"three_the",0.02633671
"three_and",0.0131792
"three_a",0.01304903
"something_is",0.00668478
"something_for",0.00641457
"something_was",0.00374771
"hope_and",0.0090442
"hope_a",0.00895487
"hope_of",0.00738423
"can't_the",0.02142932
"can't_to",0.01247543
"can't_and",0.01072349
"follow_to",0.01229386
"follow_and",0.01056741
"follow_a",0.01046304
"own_the",0.03519746
"own_to",0.02049078
"own_and",0.01761323
"used_of",0.00947728
"used_i",0.00750444
"used_that",0.00531186
"everyone_to",0.01802345
"everyone_and",0.0154924
"everyone_of",0.01264893
"free_the",0.03090233
"free_a",0.01531116
"free_of",0.01262566
"tonight_a",0.01685766
"tonight_of",0.01390092
"tonight_in",0.01111933
"lot_the",0.01539822
"lot_a",0.00762935
"lot_i",0.00498159
"days_that",0.00760332
"days_for",0.00746657
"days_you",0.00707683
"again_to",0.0183743
"again_a",0.01563798
"again_of",0.01289516
"keep_and",0.01272897
"keep_of",0.0103927
"keep_is",0.00596113
"doing_and",0.01407148
"doing_of",0.01148881
"doing_in",0.00918989
"looking_the",0.01136483
"looking_and",0.0056871
"looking_a",0.00563093
"job_a",0.0141254
"job_that",0.00652845
"job_it",0.00549517
"part_the",0.01374989
"part_and",0.00688061
"part_a",0.00681265
"long_to",0.01723694
"long_and",0.01481633
"long_a",0.01466999
"during_to",0.01005811
"during_and",0.00864564
"during_of",0.00705882
"use_and",0.01304871
"use_a",0.01291983
"use_i",0.00843601
"getting_to",0.01570892
"getting_and",0.01350289
"getting_of",0.01102458
"high_the",0.02176413
"high_to",0.01267034
"high_a",0.01078346
"friends_the",0.02640304
"friends_a",0.0130819
"friends_is",0.00618753
"better_and",0.01451787
"better_a",0.01437448
"better_of",0.01185327
"season_a",0.01554462
"season_that",0.00718438
"season_you",0.0066869
"big_the",0.03137471
"big_of",0.01281866
"big_in",0.01025364
"call_and",0.01486164
"call_of",0.01213394
"call_in",0.00970593
"having_and",0.01140158
"having_of",0.00930894
"having_i",0.00737114
"family_a",0.01602529
"family_of",0.01321453
"family_i",0.01046373
"bad_the",0.02817311
"bad_to",0.01640143
"bad_a",0.01395891
"business_to",0.02014026
"business_i",0.0111922
"business_is",0.0081074
"money_a",0.01554528
"money_of",0.01281872
"money_i",0.01015031
"place_the",0.02634871
"place_is",0.0061748
"place_that",0.00603372
"each_the",0.02354849
"each_to",0.01370914
"each_and",0.01178395
"oh_the",0.02234745
"oh_to",0.01300994
"oh_a",0.01107248
"give_to",0.01297776
"give_of",0.00910784
"give_in",0.00728536
"point_in",0.01045371
"point_is",0.0074961
"point_it",0.00616551
"play_of",0.01358858
"play_i",0.01075991
"play_is",0.00779425
"story_the",0.03249132
"story_to",0.01891536
"story_in",0.01061856
"god_to",0.01630665
"god_a",0.01387824
"god_in",0.00915411
"such_the",0.01360249
"such_to",0.00791891
"such_and",0.00680685
"put_to",0.01549946
"put_and",0.01332285
"put_of",0.01087758
"tell_to",0.00849171
"tell_and",0.00729921
"tell_of",0.00595952
"thank_the",0.00534242
"thank_to",0.00311018
"thank_and",0.00267341
"house_the",0.0367833
"house_a",0.018225
"house_i",0.01190003
"enough_of",0.01190685
"enough_that",0.0066736
"enough_you",0.00621148
"live_a",0.01296864
"live_of",0.01069401
"live_is",0.00613396
"working_to",0.01151286
"working_of",0.00807977
"working_i",0.00639784
"both_to",0.01826737
"both_and",0.01570206
"both_in",0.0102548
"million_the",0.03107615
"million_i",0.01005367
"million_is",0.00728267
"once_to",0.01477377
"once_and",0.01269907
"once_of",0.01036829
"went_the",0.01563355
"went_a",0.00774595
"went_of",0.00638735
"saw_to",0.01763682
"saw_and",0.01516006
"saw_of",0.01237759
"found_to",0.01268797
"found_and",0.01090618
"found_of",0.00890447
"didn't_the",0.0246585
"didn't_to",0.01435535
"didn't_and",0.01233941
"told_and",0.01414051
"told_a",0.01400085
"told_i",0.00914187
"talk_in",0.00729896
"talk_is",0.00523391
"talk_that",0.00511433
"pretty_the",0.02498988
"pretty_to",0.01454827
"pretty_a",0.01238172
"though_to",0.01792745
"though_of",0.01258156
"though_in",0.01006398
"someone_the",0.02609346
"someone_and",0.01305748
"someone_a",0.01292851
"until_to",0.01436449
"until_and",0.01234726
"until_of",0.01008106
"fun_the",0.03421198
"fun_a",0.01695099
"fun_i",0.01106817
"done_of",0.01287954
"done_i",0.01019846
"done_that",0.00721878
"set_the",0.02835737
"set_a",0.01405021
