"word","count","disc_count","fw_count","estimate","leftover_prob","beta"
"investigators_never",1,0.3,9,0.033333333,0.7,0.985227275090909
"let_up",1,0.3,40,0.0075,0.7,0.939202682023256
"and_pursued",1,0.3,2430,0.000123457,0.7,0.7
"pursued_the",1,0.3,1,0.3,0.7,0.999732223205601
"matter_vigorously",1,0.3,26,0.011538462,0.7,0.7
"vigorously_the",1,0.3,1,0.3,0.7,0.998290707205601
"entire_period",1,0.3,13,0.023076923,0.7,0.966666664
"period_which",1,0.3,9,0.033333333,0.7,0.995973167255033
"which_shows",1,0.3,149,0.002013423,0.7,0.986956517956522
"shows_in",1,0.3,23,0.013043478,0.7,0.750283602912413
"the_28-year",1,0.3,4856,0.0000617792,0.7,0.7
"28-year_sentence",1,0.3,1,0.3,0.7,0.94
"sentence_wow",1,0.3,5,0.06,0.7,0.984210531736842
"wow_thank",1,0.3,19,0.015789474,0.7,0.145652173130435
"day_title",1,0.3,192,0.0015625,0.7,0.957142858
"title_is",1,0.3,7,0.042857143,0.7,0.997978793094903
"from_emily",1,0.3,394,0.000761421,0.7,0.957142858
"emily_dickinsons",1,0.3,7,0.042857143,0.7,0.7
"dickinsons_poem",1,0.3,1,0.3,0.7,0.7
"poem_after",1,0.3,1,0.3,0.7,0.997247733055046
"after_great",1,0.3,109,0.002752294,0.7,0.997169835471698
"great_pain",1,0.3,106,0.002830189,0.7,0.978571426
"pain_a",1,0.3,14,0.021428571,0.7,0.999750322441397
"a_formal",1,0.3,2406,0.000124688,0.7,0.9625
"formal_feeling",1,0.3,8,0.0375,0.7,0.986363641545454
"feeling_comes",1,0.3,22,0.013636364,0.7,0.991176464176471
"comes_solon",1,0.3,34,0.008823529,0.7,0.7
"solon_is",1,0.3,1,0.3,0.7,0.998857528094903
"high_because",1,0.3,51,0.005882353,0.7,0.879527565086614
"both_asian",1,0.3,45,0.006666667,0.7,0.9
"asian_and",1,0.3,3,0.1,0.7,0.990411700477366
"other_indo-european",1,0.3,136,0.002205882,0.7,0.7
"indo-european_languages",1,0.3,1,0.3,0.7,0.85
"languages_research",1,0.3,2,0.15,0.7,0.966666664
"research_for",1,0.3,9,0.033333333,0.7,0.990292939897436
"next_book",1,0.3,79,0.003797468,0.7,0.991891888486486
"book_a",1,0.3,37,0.008108108,0.7,0.998919067441397
"hard_boiled",1,0.3,31,0.009677419,0.7,0.7
"boiled_desert",1,0.3,1,0.3,0.7,0.85
"desert_noir",1,0.3,2,0.15,0.7,0.85
"noir_tale",1,0.3,2,0.15,0.7,0.94
"tale_just",1,0.3,5,0.06,0.7,0.981724176137931
"my_#triathon",1,0.3,497,0.000603622,0.7,0.7
"#triathon_shop",1,0.3,1,0.3,0.7,0.978571424
"shop_the",1,0.3,14,0.021428571,0.7,0.999938154005601
"the_#powercranks",1,0.3,4856,0.0000617792,0.7,0.7
"#powercranks_are",1,0.3,1,0.3,0.7,0.999435081109228
"are_missing",1,0.3,531,0.000564972,0.7,0.823076922307692
"part_so",1,0.3,52,0.005769231,0.7,0.919121468527132
"new_training",1,0.3,184,0.001630435,0.7,0.975
"training_tool",1,0.3,12,0.025,0.7,0.97
"tool_for",1,0.3,10,0.03,0.7,0.994871693897436
"another_week",1,0.3,65,0.004615385,0.7,0.982191779506849
"so_pierre",1,0.3,387,0.000775194,0.7,0.7
"pierre_edmond",1,0.3,1,0.3,0.7,0.85
"edmond_piasecki",1,0.3,2,0.15,0.7,0.7
"piasecki_of",1,0.3,1,0.3,0.7,0.999849029548387
"of_france",1,0.3,1984,0.00015121,0.7,0.95
"france_took",1,0.3,6,0.05,0.7,0.889999999666667
"the_10-meter",1,0.3,4856,0.0000617792,0.7,0.7
"10-meter_air",1,0.3,1,0.3,0.7,0.984210531473684
"air_rifle",1,0.3,19,0.015789474,0.7,0.85
"rifle_royal",1,0.3,2,0.15,0.7,0.966666664222222
